study_id,country,outcome,sample_group,specification_id,event_time_years,event_time_basis,source_event_bin,beta,se,treatment_unit,beta_scale,source_table,source_page,extraction_method,verification_status,analysis_eligible,path_type,notes
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1984_2004,table3_col7,8,bin_midpoint,7-9,-0.005,0.007,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1984_2004,table3_col7,11,bin_midpoint,10-12,0.006,0.009,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,false,sign_reversal,"Sign changes by 10-12; use first three bins for monotone-decay sensitivity only"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1993_2013,table3_col8,2,bin_midpoint,1-3,0.004,0.008,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,false,no_initial_negative_scar,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1993_2013,table3_col8,5,bin_midpoint,4-6,0.013,0.010,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,false,no_initial_negative_scar,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1993_2013,table3_col8,8,bin_midpoint,7-9,0.022,0.012,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,false,no_initial_negative_scar,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1993_2013,table3_col8,11,bin_midpoint,10-12,0.024,0.013,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,false,no_initial_negative_scar,"Younger subsample"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_ols,1,exact_fitted_year,1,-0.059,0.020,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"Published-paper design; exact fitted effect from prepublication Table 4, consistent with published narrative"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_ols,5,exact_fitted_year,5,-0.050,0.014,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_ols,10,exact_fitted_year,10,-0.038,0.010,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_ols,15,exact_fitted_year,15,-0.026,0.012,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_iv,1,exact_fitted_year,1,-0.074,0.030,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National IV; birth-year instruments"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_iv,5,exact_fitted_year,5,-0.059,0.025,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National IV; birth-year instruments"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_iv,10,exact_fitted_year,10,-0.040,0.020,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National IV; birth-year instruments"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_national_iv,15,exact_fitted_year,15,-0.022,0.021,1pp_national_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"National IV; birth-year instruments"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_ols,1,exact_fitted_year,1,-0.023,0.017,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State OLS; point estimates not statistically significant"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_ols,5,exact_fitted_year,5,-0.022,0.016,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_ols,10,exact_fitted_year,10,-0.020,0.017,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_ols,15,exact_fitted_year,15,-0.018,0.019,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State OLS"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_iv,1,exact_fitted_year,1,-0.105,0.058,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State IV; state-at-age-14 proxy in modal graduation year"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_iv,5,exact_fitted_year,5,-0.103,0.053,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State IV"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_iv,10,exact_fitted_year,10,-0.100,0.048,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State IV"
USA_KAHN_2010,United States,log_wage,white_male_college_graduates_1979_1989,table4_state_iv,15,exact_fitted_year,15,-0.097,0.045,1pp_state_ue_at_graduation,log_points,Table 4,printed_p37,exact_table,L2,true,monotone_negative,"State IV"
